Fecha,Mes,Month,Title,Employed,MA(5),Tendencia,Serie sin tendencia,Estacionalidad,Residuo,Serie desestacionalizada,,,
jul-09,7,2009 jul.,Retail Trade,14489.3,14478.2,14687.57,-198.27,-5.924133811,-192.35,14495.22413,,,
ago-09,8,2009 ago.,Retail Trade,14495.3,14461.72,14674.74,-179.44,-21.11875747,-158.32,14516.41876,,,
sep-09,9,2009 sep.,Retail Trade,14367.5,14498.96,14665.27,-297.77,-118.8369176,-178.93,14486.33692,,,
oct-09,10,2009 oct.,Retail Trade,14413,14573.84,14636.43,-223.43,6.856750299,-230.28,14406.14325,,,
nov-09,11,2009 nov.,Retail Trade,14729.7,14532.88,14603.33,126.37,372.1922342,-245.82,14357.50777,,,
dic-09,12,2009 dic.,Retail Trade,14863.7,14483.98,14573.60,290.10,562.5726404,-272.47,14301.12736,,,
ene-10,1,2010 ene.,Retail Trade,14290.5,14443.24,14553.91,-263.41,-88.36786141,-175.04,14378.86786,,,
feb-10,2,2010 feb.,Retail Trade,14123,14351.12,14536.19,-413.19,-278.4622461,-134.72,14401.46225,,,
mar-10,3,2010 mar.,Retail Trade,14209.3,14254.4,14514.59,-305.29,-243.4444444,-61.85,14452.74444,,,
abr-10,4,2010 abr.,Retail Trade,14269.1,14284.66,14491.81,-222.71,-163.1647465,-59.54,14432.26475,,,
may-10,5,2010 may.,Retail Trade,14380.1,14349.08,14492.74,-112.64,-63.84942396,-48.79,14443.94942,,,
jun-10,6,2010 jun.,Retail Trade,14441.8,14399.96,14498.49,-56.69,8.817741935,-65.50,14432.98226,,,
jul-10,7,2010 jul.,Retail Trade,14445.1,14418.34,14509.49,-64.39,-5.924133811,-58.47,14451.02413,,,
ago-10,8,2010 ago.,Retail Trade,14463.7,14444.42,14533.45,-69.75,-21.11875747,-48.63,14484.81876,,,
sep-10,9,2010 sep.,Retail Trade,14361,14526.04,14559.30,-198.30,-118.8369176,-79.46,14479.83692,,,
oct-10,10,2010 oct.,Retail Trade,14510.5,14638.7,14565.46,-54.96,6.856750299,-61.81,14503.64325,,,
nov-10,11,2010 nov.,Retail Trade,14849.9,14635.68,14566.46,283.44,372.1922342,-88.75,14477.70777,,,
dic-10,12,2010 dic.,Retail Trade,15008.4,14619.98,14569.20,439.20,562.5726404,-123.37,14445.82736,,,
ene-11,1,2011 ene.,Retail Trade,14448.6,14587.74,14578.97,-130.37,-88.36786141,-42.00,14536.96786,,,
feb-11,2,2011 feb.,Retail Trade,14282.5,14515.56,14590.66,-308.16,-278.4622461,-29.70,14560.96225,,,
mar-11,3,2011 mar.,Retail Trade,14349.3,14431.62,14593.45,-244.15,-243.4444444,-0.70,14592.74444,,,
abr-11,4,2011 abr.,Retail Trade,14489,14478.36,14591.64,-102.64,-163.1647465,60.53,14652.16475,,,
may-11,5,2011 may.,Retail Trade,14588.7,14565.46,14608.56,-19.86,-63.84942396,43.98,14652.54942,,,
jun-11,6,2011 jun.,Retail Trade,14682.3,14639.1,14628.43,53.87,8.817741935,45.05,14673.48226,,,
jul-11,7,2011 jul.,Retail Trade,14718,14664.74,14649.99,68.01,-5.924133811,73.93,14723.92413,,,
ago-11,8,2011 ago.,Retail Trade,14717.5,14697.34,14685.28,32.22,-21.11875747,53.34,14738.61876,,,
sep-11,9,2011 sep.,Retail Trade,14617.2,14789.34,14720.20,-103.00,-118.8369176,15.84,14736.03692,,,
oct-11,10,2011 oct.,Retail Trade,14751.7,14905.08,14733.63,18.07,6.856750299,11.21,14744.84325,,,
nov-11,11,2011 nov.,Retail Trade,15142.3,14908.48,14740.96,401.34,372.1922342,29.15,14770.10777,,,
dic-11,12,2011 dic.,Retail Trade,15296.7,14889.1,14748.96,547.74,562.5726404,-14.83,14734.12736,,,
ene-12,1,2012 ene.,Retail Trade,14734.5,14854.82,14763.40,-28.90,-88.36786141,59.47,14822.86786,,,
feb-12,2,2012 feb.,Retail Trade,14520.3,14760.44,14777.00,-256.70,-278.4622461,21.76,14798.76225,,,
mar-12,3,2012 mar.,Retail Trade,14580.3,14656.2,14783.30,-203.00,-243.4444444,40.44,14823.74444,,,
abr-12,4,2012 abr.,Retail Trade,14670.4,14672.48,14786.17,-115.77,-163.1647465,47.39,14833.56475,,,
may-12,5,2012 may.,Retail Trade,14775.5,14729.96,14808.21,-32.71,-63.84942396,31.14,14839.34942,,,
jun-12,6,2012 jun.,Retail Trade,14815.9,14776.94,14833.05,-17.15,8.817741935,-25.97,14807.08226,,,
jul-12,7,2012 jul.,Retail Trade,14807.7,14790.64,14860.89,-53.19,-5.924133811,-47.26,14813.62413,,,
ago-12,8,2012 ago.,Retail Trade,14815.2,14811.08,14898.51,-83.31,-21.11875747,-62.19,14836.31876,,,
sep-12,9,2012 sep.,Retail Trade,14738.9,14920.5,14938.85,-199.95,-118.8369176,-81.12,14857.73692,,,
oct-12,10,2012 oct.,Retail Trade,14877.7,15051.46,14954.61,-76.91,6.856750299,-83.77,14870.84325,,,
nov-12,11,2012 nov.,Retail Trade,15363,15060.06,14962.15,400.85,372.1922342,28.66,14990.80777,,,
dic-12,12,2012 dic.,Retail Trade,15462.5,15046.74,14971.76,490.74,562.5726404,-71.83,14899.92736,,,
ene-13,1,2013 ene.,Retail Trade,14858.2,15013.54,14988.53,-130.33,-88.36786141,-41.96,14946.56786,,,
feb-13,2,2013 feb.,Retail Trade,14672.3,14902.66,15004.25,-331.95,-278.4622461,-53.48,14950.76225,,,
mar-13,3,2013 mar.,Retail Trade,14711.7,14796.62,15011.09,-299.39,-243.4444444,-55.95,14955.14444,,,
abr-13,4,2013 abr.,Retail Trade,14808.6,14834.02,15014.08,-205.48,-163.1647465,-42.31,14971.76475,,,
may-13,5,2013 may.,Retail Trade,14932.3,14919.02,15034.91,-102.61,-63.84942396,-38.76,14996.14942,,,
jun-13,6,2013 jun.,Retail Trade,15045.2,15003.02,15060.03,-14.83,8.817741935,-23.64,15036.38226,,,
jul-13,7,2013 jul.,Retail Trade,15097.3,15051.82,15089.10,8.20,-5.924133811,14.12,15103.22413,,,
ago-13,8,2013 ago.,Retail Trade,15131.7,15107.82,15128.58,3.12,-21.11875747,24.24,15152.81876,,,
sep-13,9,2013 sep.,Retail Trade,15052.6,15229.84,15169.63,-117.03,-118.8369176,1.80,15171.43692,,,
oct-13,10,2013 oct.,Retail Trade,15212.3,15378.26,15189.15,23.15,6.856750299,16.29,15205.44325,,,
nov-13,11,2013 nov.,Retail Trade,15655.3,15386.06,15203.26,452.04,372.1922342,79.85,15283.10777,,,
dic-13,12,2013 dic.,Retail Trade,15839.4,15365.9,15219.27,620.13,562.5726404,57.55,15276.82736,,,
ene-14,1,2014 ene.,Retail Trade,15170.7,15326.52,15240.66,-69.96,-88.36786141,18.41,15259.06786,,,
feb-14,2,2014 feb.,Retail Trade,14951.8,15222.86,15261.71,-309.91,-278.4622461,-31.45,15230.26225,,,
mar-14,3,2014 mar.,Retail Trade,15015.4,15102.76,15270.02,-254.62,-243.4444444,-11.17,15258.84444,,,
abr-14,4,2014 abr.,Retail Trade,15137,15139.54,15275.97,-138.97,-163.1647465,24.20,15300.16475,,,
may-14,5,2014 may.,Retail Trade,15238.9,15227.02,15300.75,-61.85,-63.84942396,2.00,15302.74942,,,
jun-14,6,2014 jun.,Retail Trade,15354.6,15300.02,15327.88,26.72,8.817741935,17.90,15345.78226,,,
jul-14,7,2014 jul.,Retail Trade,15389.2,15332.38,15359.65,29.55,-5.924133811,35.47,15395.12413,,,
ago-14,8,2014 ago.,Retail Trade,15380.4,15380.92,15401.18,-20.78,-21.11875747,0.34,15401.51876,,,
sep-14,9,2014 sep.,Retail Trade,15298.8,15488.86,15442.76,-143.96,-118.8369176,-25.13,15417.63692,,,
oct-14,10,2014 oct.,Retail Trade,15481.6,15620.64,15461.49,20.11,6.856750299,13.25,15474.74325,,,
nov-14,11,2014 nov.,Retail Trade,15894.3,15628.78,15474.05,420.25,372.1922342,48.06,15522.10777,,,
dic-14,12,2014 dic.,Retail Trade,16048.1,15618,15488.41,559.69,562.5726404,-2.88,15485.52736,,,
ene-15,1,2015 ene.,Retail Trade,15421.1,15584.02,15507.64,-86.54,-88.36786141,1.83,15509.46786,,,
feb-15,2,2015 feb.,Retail Trade,15244.9,15485.52,15524.84,-279.94,-278.4622461,-1.48,15523.36225,,,
mar-15,3,2015 mar.,Retail Trade,15311.7,15381.96,15531.18,-219.48,-243.4444444,23.96,15555.14444,,,
abr-15,4,2015 abr.,Retail Trade,15401.8,15421.84,15532.31,-130.51,-163.1647465,32.66,15564.96475,,,
may-15,5,2015 may.,Retail Trade,15530.3,15502.26,15554.69,-24.39,-63.84942396,39.46,15594.14942,,,
jun-15,6,2015 jun.,Retail Trade,15620.5,15565.18,15580.45,40.05,8.817741935,31.23,15611.68226,,,
jul-15,7,2015 jul.,Retail Trade,15647,15587.5,15608.97,38.03,-5.924133811,43.95,15652.92413,,,
ago-15,8,2015 ago.,Retail Trade,15626.3,15620.8,15645.20,-18.90,-21.11875747,2.22,15647.41876,,,
sep-15,9,2015 sep.,Retail Trade,15513.4,15715.86,15682.47,-169.07,-118.8369176,-50.24,15632.23692,,,
oct-15,10,2015 oct.,Retail Trade,15696.8,15830.76,15698.60,-1.80,6.856750299,-8.65,15689.94325,,,
nov-15,11,2015 nov.,Retail Trade,16095.8,15830.64,15706.30,389.50,372.1922342,17.31,15723.60777,,,
dic-15,12,2015 dic.,Retail Trade,16221.5,15825.28,15714.51,506.99,562.5726404,-55.58,15658.92736,,,
ene-16,1,2016 ene.,Retail Trade,15625.7,15801.28,15727.02,-101.32,-88.36786141,-12.95,15714.06786,,,
feb-16,2,2016 feb.,Retail Trade,15486.6,15711.86,15735.98,-249.38,-278.4622461,29.08,15765.06225,,,
mar-16,3,2016 mar.,Retail Trade,15576.8,15616.7,15734.33,-157.53,-243.4444444,85.92,15820.24444,,,
abr-16,4,2016 abr.,Retail Trade,15648.7,15661.92,15727.65,-78.95,-163.1647465,84.21,15811.86475,,,
may-16,5,2016 may.,Retail Trade,15745.7,15739.48,15740.20,5.50,-63.84942396,69.35,15809.54942,,,
jun-16,6,2016 jun.,Retail Trade,15851.8,15797.04,15754.22,97.58,8.817741935,88.77,15842.98226,,,
jul-16,7,2016 jul.,Retail Trade,15874.4,15817.36,15770.61,103.79,-5.924133811,109.71,15880.32413,,,
ago-16,8,2016 ago.,Retail Trade,15864.6,15848.12,15799.13,65.47,-21.11875747,86.59,15885.71876,,,
sep-16,9,2016 sep.,Retail Trade,15750.3,15929.8,15824.15,-73.85,-118.8369176,44.99,15869.13692,,,
oct-16,10,2016 oct.,Retail Trade,15899.5,16033.78,15827.31,72.19,6.856750299,65.33,15892.64325,,,
nov-16,11,2016 nov.,Retail Trade,16260.2,16031.74,15825.05,435.15,372.1922342,62.96,15888.00777,,,
dic-16,12,2016 dic.,Retail Trade,16394.3,16007.26,15824.55,569.75,562.5726404,7.18,15831.72736,,,
ene-17,1,2017 ene.,Retail Trade,15854.4,15954.36,15829.97,24.43,-88.36786141,112.80,15942.76786,,,
feb-17,2,2017 feb.,Retail Trade,15627.9,15839.64,15833.21,-205.31,-278.4622461,73.15,15906.36225,,,
mar-17,3,2017 mar.,Retail Trade,15635,15712.68,15825.12,-190.12,-243.4444444,53.33,15878.44444,,,
abr-17,4,2017 abr.,Retail Trade,15686.6,15710.4,15813.28,-126.68,-163.1647465,36.49,15849.76475,,,
may-17,5,2017 may.,Retail Trade,15759.5,15753.04,15820.03,-60.53,-63.84942396,3.32,15823.34942,,,
jun-17,6,2017 jun.,Retail Trade,15843,15788.08,15826.28,16.72,8.817741935,7.90,15834.18226,,,
jul-17,7,2017 jul.,Retail Trade,15841.1,15786.62,15833.37,7.73,-5.924133811,13.65,15847.02413,,,
ago-17,8,2017 ago.,Retail Trade,15810.2,15798.7,15854.10,-43.90,-21.11875747,-22.78,15831.31876,,,
sep-17,9,2017 sep.,Retail Trade,15679.3,15887.26,15872.28,-192.98,-118.8369176,-74.14,15798.13692,,,
oct-17,10,2017 oct.,Retail Trade,15819.9,15980.22,15869.11,-49.21,6.856750299,-56.06,15813.04325,,,
nov-17,11,2017 nov.,Retail Trade,16285.8,15961.9,15859.20,426.60,372.1922342,54.40,15913.60777,,,
dic-17,12,2017 dic.,Retail Trade,16305.9,15941.44,15849.91,455.99,562.5726404,-106.59,15743.32736,,,
ene-18,1,2018 ene.,Retail Trade,15718.6,15899.62,15845.87,-127.27,-88.36786141,-38.90,15806.96786,,,
feb-18,2,2018 feb.,Retail Trade,15577,15778.74,15839.16,-262.16,-278.4622461,16.30,15855.46225,,,
mar-18,3,2018 mar.,Retail Trade,15610.8,15677,15823.53,-212.73,-243.4444444,30.72,15854.24444,,,
abr-18,4,2018 abr.,Retail Trade,15681.4,15702.26,15803.90,-122.50,-163.1647465,40.66,15844.56475,,,
may-18,5,2018 may.,Retail Trade,15797.2,15757.76,15800.52,-3.32,-63.84942396,60.53,15861.04942,,,
jun-18,6,2018 jun.,Retail Trade,15844.9,15802.58,15799.98,44.92,8.817741935,36.10,15836.08226,,,
jul-18,7,2018 jul.,Retail Trade,15854.5,15802.42,,,,,,,,
ago-18,8,2018 ago.,Retail Trade,15834.9,15802.28,,,,,,,,
sep-18,9,2018 sep.,Retail Trade,15680.6,15891.56,,,,,,,,
oct-18,10,2018 oct.,Retail Trade,15796.5,15982.5,,,,,,,,
nov-18,11,2018 nov.,Retail Trade,16291.3,15966.22,,,,,,,,
dic-18,12,2018 dic.,Retail Trade,16309.2,15943.58,,,,,,,,
ene-19,1,2019 ene.,Retail Trade,15753.5,15899.6,,,,,,,,
feb-19,2,2019 feb.,Retail Trade,15567.4,15766.32,,,,,,,,
mar-19,3,2019 mar.,Retail Trade,15576.6,15642.8,,,,,,,,
abr-19,4,2019 abr.,Retail Trade,15624.9,15647.2,,,,,,,,
may-19,5,2019 may.,Retail Trade,15691.6,15690.9,,,,,,,,
jun-19,6,2019 jun.,Retail Trade,15775.5,15725.48,,,,,,,,
jul-19,7,2019 jul.,Retail Trade,15785.9,15722.76,,,,,,,,
ago-19,8,2019 ago.,Retail Trade,15749.5,,,,,,,,,
sep-19,9,2019 sep.,Retail Trade,15611.3,,,,,,,,,
